TELA,Links,Errors,Contrast Errors,Alerts,Features,Structure,ARIA,AIM Score,cod_erro
31,http://tabnet.datasus.gov.br/cgi/tabcgi.exe?pacto/2013/cnv/absbr.def,14,13,13,15,5,0,5.5,
32,https://datasus.saude.gov.br/acesso-a-informacao/transicao-pacto-pela-saude-e-coap-2012/,7,11,12,4,38,0,5.8,
33,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2012/cnv/pactbr.def,18,14,14,16,5,0,6.7,
34,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2012/cnv/ABSbr.def,19,15,15,17,5,0,6.0,
35,https://datasus.saude.gov.br/acesso-a-informacao/pacto-pela-saude-2010-2011/,7,11,12,4,38,0,5.8,
36,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2010/cnv/pactbr.def,14,13,14,15,5,0,6.4,
37,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2010/cnv/ABSbr.def,14,13,14,15,5,0,6.4,
38,https://datasus.saude.gov.br/acesso-a-informacao/pactos-de-atencao-basica/,11,11,12,4,38,0,5.5,
39,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2006/cnv/pacbr.def,19,15,15,17,5,0,6.0,
40,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2005/cnv/pacbr.def,19,15,15,17,5,0,6.0,
41,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2004/cnv/pacbr.def,19,15,15,17,5,0,6.0,
42,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2003/cnv/pacbr.def,19,15,15,17,5,0,6.0,
43,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?pacto/2002/cnv/pacbr.def,19,15,14,17,5,0,6.1,
44,http://tabnet.datasus.gov.br/cgi/pacto/2001/cadernosmap.htm,1,0,5,6,3,0,9.6,
45,https://datasus.saude.gov.br/acesso-a-informacao/producao-hospitalar-sih-sus/,13,11,12,4,38,0,5.5,
46,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/qiuf.def,41,25,23,27,6,0,5.0,
47,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/piuf.def,26,19,17,21,4,0,5.4,
48,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/qruf.def,41,25,23,27,6,0,5.0,
49,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/pruf.def,22,18,16,20,4,0,5.7,
50,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/qgbr.def,77,37,35,39,6,0,4.3,
51,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/spauf.def,42,23,21,25,5,0,5.1,
52,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/spruf.def,46,24,22,26,5,0,5.1,
53,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/spgbr.def,78,35,33,37,5,0,4.4,
54,https://datasus.saude.gov.br/acesso-a-informacao/producao-ambulatorial-sia-sus/,8,11,13,4,38,0,5.8,
55,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sia/cnv/qabr.def,84,41,39,43,6,0,3.7,
56,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sia/cnv/pauf.def,32,19,17,21,4,0,4.8,
57,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sia/cnv/qbbr.def,68,34,32,36,6,0,4.4,
58,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sia/cnv/qgbr.def,84,41,39,43,6,0,3.7,
59,https://datasus.saude.gov.br/acesso-a-informacao/imunizacoes-desde-1994/,6,10,10,4,38,3,6.4,
60,http://tabnet.datasus.gov.br/cgi/dhdat.exe?bd_pni/dpnibr.def,68,28,25,26,5,0,4.7,
61,http://tabnet.datasus.gov.br/cgi/dhdat.exe?bd_pni/cpnibr.def,58,24,21,22,5,0,4.8,
62,https://datasus.saude.gov.br/atencao-basica-saude-da-familia-de-1998-a-2015/,10,11,12,4,38,0,5.5,
63,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/SIABSbr.def,44,25,21,26,4,0,5.1,
64,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/SIABPbr.def,44,25,21,26,4,0,5.1,
65,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/SIABFbr.def,44,25,21,26,4,0,5.1,
66,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/SIABCbr.def,44,25,21,26,4,0,5.1,
67,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?siab/cnv/siabobr.def,44,25,20,26,4,0,5.1,
68,https://datasus.saude.gov.br/acesso-a-informacao/vigilancia-alimentar-e-nutricional/,6,11,13,4,38,0,5.8,
69,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sisvan/cnv/acom_br.def,20,22,19,24,4,0,3.6,
70,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?bolsa/cnv/ACOMP_br.def,20,19,16,21,4,0,3.3,
71,https://datasus.saude.gov.br/acesso-a-informacao/morbidade-hospitalar-do-sus-sih-sus/,13,11,12,4,38,0,5.5,
72,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/niuf.def,26,19,17,21,5,0,4.2,
73,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/nruf.def,26,19,17,21,5,0,4.2,
74,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/fiuf.def,30,20,18,22,5,0,3.6,
75,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/fruf.def,30,20,18,22,5,0,3.6,
76,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/miuf.def,39,20,18,22,4,0,3.9,
77,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/mruf.def,35,19,17,21,4,0,3.9,
78,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/eiuf.def,31,18,16,20,4,0,3.6,
79,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sih/cnv/eruf.def,27,17,15,19,4,0,4.2,
80,http://www2.aids.gov.br/cgi/deftohtm.exe?tabnet/br.def,5,0,30,0,5,0,8.3,
81,https://datasus.saude.gov.br/acesso-a-informacao/casos-de-hanseniase-desde-2001-sinan/,5,11,12,4,38,0,6.4,
82,http://tabnet.datasus.gov.br/cgi/tabcgi.exe?sinannet/cnv/hanswbr.def,164,72,70,75,5,0,3.6,
83,https://datasus.saude.gov.br/acesso-a-informacao/casos-de-tuberculose-desde-2001-sinan/,6,11,11,4,38,0,6.4,
84,http://tabnet.datasus.gov.br/cgi/tabcgi.exe?sinannet/cnv/tubercbr.def,159,79,77,82,5,0,3.3,
85,https://datasus.saude.gov.br/acesso-a-informacao/doencas-e-agravos-de-notificacao-de-2007-em-diante-sinan/,51,11,13,4,38,0,3.1,
86,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/acgrbr.def,273,106,104,109,5,0,3.1,
87,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/animaisbr.def,116,54,52,57,5,0,3.6,
88,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/acbibr.def,221,108,106,111,5,0,3.2,
89,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/antrbr.def,205,101,99,104,5,0,3.2,
90,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/antrbr.def,107,51,49,54,5,0,3.2,
91,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/cancbr.def,215,99,97,102,5,0,3.2,
92,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/colerabr.def,110,48,46,51,5,0,3.4,
93,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/coquebr.def,105,46,44,49,5,0,3.4,
94,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/dermbr.def,224,102,100,105,5,0,3.2,
95,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebr.def,127,56,54,59,5,0,3.6,
96,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/denguebbr.def,151,65,63,68,5,0,3.3,
97,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/difteribr.def,105,46,44,49,5,0,3.4,
98,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chagasbr.def,124,54,52,56,5,0,3.6,
99,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/exantbr.def,123,52,50,55,5,0,3.6,
100,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/esquistobr.def,148,59,57,62,5,0,3.6,
101,https://opendatasus.saude.gov.br/dataset/febre-amarela-em-humanos-e-primatas-nao-humanos,2,5,14,12,51,36,8.8,
102,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/chikunbr.def,139,56,54,59,5,0,3.6,
103,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/febremaculosabr.def,112,50,48,53,5,0,3.4,
104,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/febretifoidebr.def,118,50,48,53,5,0,3.7,
105,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/hantabr.def,118,53,51,56,5,0,3.6,
106,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/hepabr.def,112,50,48,53,5,0,3.4,
107,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/influbr.def,109,50,48,53,6,0,3.4,
108,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/Intoxbr.def,132,55,53,58,5,0,3.6,
109,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/leishvbr.def,134,57,55,60,5,0,3.6,
110,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/ltabr.def,129,56,54,57,4,0,3.6,
111,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/leptobr.def,129,55,53,58,5,0,3.6,
112,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/lerdorbr.def,216,103,101,106,5,0,3.2,
113,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/malabr.def,121,50,49,53,5,0,3.7,
114,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/meninbr.def,116,48,46,51,5,0,3.4,
115,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/pfabr.def,110,48,46,51,5,0,3.4,
116,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/pairbr.def,212,96,94,99,5,0,3.2,
117,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/pestebr.def,115,50,48,53,5,0,3.7,
118,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/pneubr.def,192,79,77,82,5,0,3.3,
119,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/raivabr.def,125,54,52,57,5,0,3.6,
120,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/rotabr.def,212,85,83,87,5,0,2.9,
121,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisadquiridabr.def,130,53,51,56,5,0,3.6,
122,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisbr.def,121,53,51,56,5,0,3.3,
123,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/sifilisgestantebr.def,114,49,47,52,5,0,3.7,
124,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/srubeolacbr.def,110,48,46,51,5,0,3.4,
125,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/tetacidbr.def,109,47,45,50,5,0,3.4,
126,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/tetneobr.def,106,47,45,50,5,0,3.4,
127,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxocongenitabr.def,114,50,48,52,5,0,3.4,
128,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/toxogestacionalbr.def,114,50,48,52,5,0,3.4,
129,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/transmentalbr.def,211,95,93,98,5,0,3.2,
130,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/varicelabr.def,138,55,53,58,5,0,3.6,
131,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/violebr.def,168,97,95,100,5,0,3.2,
132,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinannet/cnv/zikabr.def,130,53,51,56,5,0,3.3,
133,https://datasus.saude.gov.br/acesso-a-informacao/doencas-e-agravos-de-notificacao-2001-a-2006-sinan/,34,10,27,4,42,1,3.5,
134,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/animaisbr.def,107,51,49,54,5,0,3.7,
135,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/botubr.def,98,45,43,48,5,0,3.7,
136,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/colerabr.def,112,50,48,53,5,0,3.7,
137,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/coquebr.def,104,48,46,51,5,0,3.4,
138,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/denguebr.def,114,52,50,55,5,0,3.6,
139,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/difteribr.def,104,48,46,51,5,0,3.4,
140,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/chagasbr.def,114,52,50,55,5,0,3.6,
141,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/exantbr.def,112,50,48,53,5,0,3.7,
142,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/esquistobr.def,98,45,43,48,5,0,3.7,
143,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/febreamarelabr.def,112,50,48,53,5,0,3.7,
144,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/febremaculosabr.def,90,40,38,43,5,0,3.7,
145,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/febretifoidebr.def,112,50,48,53,5,0,3.7,
146,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/hantabr.def,115,53,51,56,5,0,3.6,
147,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/hepabr.def,102,49,47,52,5,0,3.4,
148,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/agrobr.def,112,53,51,56,5,0,3.6,
149,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/leishvbr.def,115,53,51,56,5,0,3.6,
150,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/ltabr.def,119,57,55,60,5,0,3.6,
151,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/leptobr.def,114,52,50,55,5,0,3.6,
152,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/malabr.def,114,49,47,52,5,0,3.7,
153,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/meninbr.def,119,51,49,54,5,0,3.4,
154,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/pestebr.def,114,52,50,55,5,0,3.6,
155,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/pfabr.def,109,53,51,56,5,0,3.3,
156,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/raivabr.def,115,53,51,56,5,0,3.6,
157,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/sifilisgestantebr.def,98,45,43,48,5,0,3.7,
158,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/sifilisbr.def,108,52,50,55,5,0,3.3,
159,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/srubeolacbr.def,100,47,45,50,5,0,3.7,
160,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/tetacidbr.def,99,46,44,49,5,0,3.7,
161,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinanwin/cnv/tetneobr.def,101,48,46,51,5,0,3.4,
162,https://datasus.saude.gov.br/acesso-a-informacao/registro-de-eventos-em-saude-publica-resp-microcefalia/,5,11,12,4,38,0,6.4,
163,http://tabnet.datasus.gov.br/cgi/tabcgi.exe?resp/cnv/respbr.def,79,63,61,65,5,0,3.3,
164,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sinan/pce/cnv/pcebr.def,43,24,22,26,5,0,5.1,
165,https://datasus.saude.gov.br/acesso-a-informacao/estado-nutricional-sisvan/,7,11,12,4,38,0,5.8,
166,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sisvan/cnv/acom_br.def,20,22,19,24,4,0,3.6,
167,http://tabnet.datasus.gov.br/cgi/tabcgi.exe?bolsa/cnv/acomp_br.def,20,19,16,21,4,0,3.3,
168,https://datasus.saude.gov.br/acesso-a-informacao/hipertensao-e-diabetes-hiperdia/,5,11,12,4,38,0,5.8,
169,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?hiperdia/cnv/hddf.def,22,27,25,29,4,0,2.9,
170,https://datasus.saude.gov.br/acesso-a-informacao/cancer-de-colo-de-utero-e-de-mama-siscolo-sismama/,5,10,10,4,38,0,6.4,
171,http://w3.datasus.gov.br/siscam/index.php?area=04,20,18,35,9,10,3,3.1,
172,https://datasus.saude.gov.br/acesso-a-informacao/sistema-de-informacao-do-cancer-siscan-colo-do-utero-e-mama/,20,11,12,4,38,0,4.6,
173,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/cito_colo_residbr.def,53,34,31,32,5,0,4.1,
174,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/cito_colo_atendbr.def,56,34,31,32,5,0,4.4,
175,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/cito_colo_pacbr.def,39,23,20,21,5,0,4.8,
176,http://tabnet.datasus.gov.br/cgi/dhdat.exe?siscan/histo_residbr.def,57,38,35,36,5,0,4.0,
177,http://tabnet.datasus.gov.br/cgi/dhdat.exe?siscan/histo_atendbr.def,64,39,36,37,5,0,4.3,
178,http://tabnet.datasus.gov.br/cgi/dhdat.exe?siscan/histo_atendbr.def,33,20,17,18,5,0,5.1,
179,http://tabnet.datasus.gov.br/cgi/dhdat.exe?siscan/mamografia_residbr.def,55,36,33,34,5,0,4.1,
180,http://tabnet.datasus.gov.br/cgi/dhdat.exe?siscan/mamografia_atendbr.def,61,36,33,34,5,0,4.4,
181,http://tabnet.datasus.gov.br/cgi/dhdat.exe?siscan/mamografia_pacbr.def,38,22,19,20,5,0,5.1,
182,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/CITOMAMA_RESIDbr.def,57,35,32,33,5,0,4.1,
183,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/CITOMAMA_ATENDbr.def,63,35,32,33,5,0,4.4,
184,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/CITOMAMA_PACbr.def,41,25,22,23,5,0,4.8,
185,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/HISTMAMA_RESID_br.def,61,39,36,37,5,0,4.0,
186,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/HISTMAMA_ATEND_br.def,68,40,37,38,5,0,4.3,
187,http://tabnet.datasus.gov.br/cgi/dhdat.exe?SISCAN/HISTMAMA_RESID_PAC_br.def,39,26,23,24,5,0,4.7,
188,http://tabnet.datasus.gov.br/cgi/dhdat.exe?PAINEL_ONCO/PAINEL_ONCOLOGIABR.def,90,35,31,33,5,0,4.1,
189,https://datasus.saude.gov.br/cnes-estabelecimentos,16,11,12,4,38,0,4.6,
190,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/estabbr.def,67,33,30,35,5,0,4.4,
191,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atencbr.def,67,33,30,35,5,0,4.4,
192,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/servclbr.def,63,32,29,34,4,0,4.4,
193,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/servc2br.def,71,34,31,36,5,0,4.4,
194,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/habbr.def,72,35,32,37,5,0,4.4,
195,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atambbr.def,67,33,30,35,5,0,4.4,
196,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atintbr.def,67,33,30,35,5,0,4.4,
197,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atsadtbr.def,67,33,30,35,5,0,4.4,
198,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/aturgbr.def,67,33,30,35,5,0,4.4,
199,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atvigbr.def,67,33,30,35,5,0,4.4,
200,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/atoutbr.def,67,33,30,35,5,0,4.4,
201,https://datasus.saude.gov.br/cnes-recursos-fisicos,13,11,12,4,38,0,4.9,
202,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/consulbr.def,67,33,30,35,5,0,4.4,
203,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/ambleibr.def,67,33,30,35,5,0,4.4,
204,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/leiintbr.def,84,41,38,43,5,0,3.7,
205,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/leiutibr.def,71,34,31,36,5,0,4.4,
206,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/leiobsbr.def,67,33,30,35,5,0,4.4,
207,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/rurgcbr.def,67,33,30,35,5,0,4.4,
208,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/recurgbr.def,67,33,30,35,5,0,4.4,
209,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/equipobr.def,76,36,33,38,5,0,4.4,
210,https://datasus.saude.gov.br/cnes-recursos-humanos-a-partir-de-agosto-de-2007-ocupacoes-classificadas-pela-cbo-2002,6,11,13,4,38,0,5.8,
211,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/proc02br.def,95,40,37,42,5,0,3.7,
212,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/prid02br.def,92,40,37,42,5,0,3.7,
213,https://datasus.saude.gov.br/cnes-equipes-de-saude,5,11,12,4,38,0,5.8,
214,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?cnes/cnv/equipebr.def,71,34,31,36,5,0,4.4,
215,https://cnes.datasus.gov.br/,10,22,11,3,18,5,4.3,
216,https://datasus.saude.gov.br/pesquisa-assistencia-medico-sanitaria-ams-2002,15,11,12,4,38,0,4.6,
217,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsabr.def,100,72,69,74,4,0,3.0,
218,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsabr.def,100,72,69,74,4,0,3.0,
219,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsdbr.def,55,33,30,35,4,0,4.1,
220,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/uamsdbr.def,55,33,30,35,4,0,4.1,
221,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ams/cnv/namsmbr.def,54,35,32,37,4,0,4.1,
